nucleus_id,Mean_normalized_w1405-0001,Mean_normalized_w1405-0002,Mean_normalized_w1405-0003,Mean_normalized_w1405-0004,Median_normalized_w1405-0001,Median_normalized_w1405-0002,Median_normalized_w1405-0003,Median_normalized_w1405-0004,Area_w1405-0001,Area_w1405-0002,Area_w1405-0003,Area_w1405-0004,total_intensity_w1405-0001,total_intensity_w1405-0002,total_intensity_w1405-0003,total_intensity_w1405-0004,Skew_w1405-0001,Skew_w1405-0002,Skew_w1405-0003,Skew_w1405-0004,Kurt_w1405-0001,Kurt_w1405-0002,Kurt_w1405-0003,Kurt_w1405-0004,ratio_RNAPII_to_DNA,cell_cycle,ratio_RNAPII_to_DNA_MvsI,RNAPII_abs_MvsI
MAX_IF43b-2_011_thumb0007-0991,28.191,275.246,-2.23,153.705,28.0,293.0,-4.0,133.0,18886.0,18886.0,18886.0,18886.0,532415.226,5198295.956,-42115.78,2902872.63,0.67,-0.088,0.713,3.862,0.704,-0.749,1.41,17.606,9.763612500443404,I,1.2632777013882304,0.7719490437331965
MAX_IF43b-2_011_thumb0006-0878,58.762,329.988,5.941,169.096,58.0,340.0,4.0,138.0,18085.0,18085.0,18085.0,18085.0,1062710.77,5967832.98,107442.985,3058101.16,0.075,0.048,0.486,3.678,0.312,-0.457,1.273,17.933,5.615669990810388,I,0.7265907651930716,0.92547728593124
MAX_IF43b-2_014_thumb0003-0858,11.983,40.357,-3.529,127.707,13.0,42.0,-2.0,126.0,6734.0,6734.0,6734.0,6734.0,80693.522,271764.038,-23764.286,859978.938,0.091,-0.028,-0.007,0.972,-0.831,0.038,-0.869,0.456,3.3678544604856877,I,0.4357542294165447,0.11318437891173937
MAX_IF43b-2_014_thumb0004-1378,3.112,0.928,7.347,117.745,4.0,2.0,8.0,118.0,6931.0,6931.0,6931.0,6931.0,21569.272,6431.968,50922.057,816090.595,0.159,1.301,2.536,0.346,0.03,4.209,9.292,0.37,0.2982005141388175,I,0.03858306134506731,0.0026026489488835676
MAX_IF43b-2_005_thumb0001-0151,38.387,373.091,42.796,155.963,36.0,379.0,43.0,139.0,22373.0,22373.0,22373.0,22373.0,858832.351,8347164.943,957474.908,3489360.199,0.815,0.193,1.649,3.837,0.492,-0.68,8.612,20.078,9.719201813113814,I,1.2575315668499898,1.046363037702499
MAX_IF43b-2_005_thumb0003-0568,84.46,363.391,39.425,183.024,86.0,371.0,40.0,155.0,12763.0,12763.0,12763.0,12763.0,1077962.98,4637959.333,503181.275,2335935.312,-0.11,0.187,0.002,1.699,-0.849,-0.28,-0.701,3.101,4.302521903859816,I,0.5566873921546664,1.019158625198005
MAX_IF43b-2_005_thumb0004-0674,40.173,344.43,19.967,155.069,39.0,357.0,20.0,136.0,29005.0,29005.0,29005.0,29005.0,1165217.865,9990192.15,579142.835,4497776.345,0.619,0.011,1.562,5.43,0.767,-0.707,14.173,45.482,8.573668882084982,I,1.1093152987515882,0.9659810101982406
MAX_IF43b-2_005_thumb0005-0710,62.814,497.583,28.018,154.925,62.0,492.0,28.0,146.0,10856.0,10856.0,10856.0,10856.0,681908.784,5401761.048,304163.408,1681865.8,-0.235,0.244,1.897,2.113,-0.164,-0.738,9.225,5.369,7.92153023211386,I,1.0249374913893512,1.3955106378581166
MAX_IF43b-2_005_thumb0006-0889,46.261,375.03,4.33,163.291,46.0,361.0,5.0,136.0,17921.0,17921.0,17921.0,17921.0,829043.381,6720912.63,77597.93,2926338.011,-0.311,0.256,0.078,3.833,0.235,-0.843,0.448,18.426,8.106828646159832,I,1.048912567679633,1.051801115624789
MAX_IF43b-2_005_thumb0007-0886,31.878,246.845,0.4,156.505,29.0,244.0,1.0,133.0,16441.0,16441.0,16441.0,16441.0,524106.198,4058378.645,6576.4,2573098.705,1.244,0.246,0.28,3.345,2.217,-0.676,0.463,13.563,7.743428069515026,I,1.0018935114516068,0.6922962066672028
MAX_IF43b-2_005_thumb0008-1019,44.692,378.697,14.651,173.723,44.0,384.0,15.0,143.0,19200.0,19200.0,19200.0,19200.0,858086.4,7270982.4,281299.2,3335481.6,0.396,0.064,1.09,4.296,0.4,-0.612,6.009,23.212,8.473485187505593,I,1.0963529011350213,1.0620855053829314
MAX_IF43b-2_005_thumb0009-1226,36.665,319.435,1.368,159.729,35.0,326.0,1.0,137.0,16901.0,16901.0,16901.0,16901.0,619675.165,5398770.935,23120.568,2699579.829,0.259,0.169,1.209,3.376,0.013,-0.376,4.709,14.518,8.712259648165826,I,1.1272470452644994,0.8958805678735156
MAX_IF43b-2_005_thumb0010-1327,24.912,238.666,-1.12,146.268,24.0,251.0,0.0,131.0,21863.0,21863.0,21863.0,21863.0,544651.056,5217954.758,-24486.56,3197857.284,0.968,-0.159,-0.18,4.005,1.816,-0.499,0.659,21.325,9.580362877328195,I,1.2395677105770704,0.6693575582265577
MAX_IF43b-2_011_thumb0001-0380,43.268,382.391,24.237,164.096,43.0,395.0,22.0,135.0,21338.0,21338.0,21338.0,21338.0,923252.584,8159459.158,517169.106,3501480.448,-0.029,0.198,0.968,4.851,-0.263,-0.478,7.612,29.275,8.83773227327355,I,1.1434814840468697,1.072445618763509
